epoch,accuracy,loss,val_accuracy,val_loss
0,0.7764999866485596,0.7477461695671082,0.8849999904632568,0.29044997692108154
1,0.8514999747276306,0.38780438899993896,0.8974999785423279,0.2750256359577179
2,0.8794999718666077,0.3447434902191162,0.9012500047683716,0.26551467180252075
3,0.8985000252723694,0.2888237237930298,0.9075000286102295,0.3020188808441162
4,0.9075000286102295,0.2443094402551651,0.9024999737739563,0.2930319905281067
5,0.9144999980926514,0.2330181896686554,0.9049999713897705,0.345388263463974
6,0.9340000152587891,0.21749772131443024,0.9024999737739563,0.3479575216770172
7,0.9330000281333923,0.20200754702091217,0.9024999737739563,0.42789745330810547
8,0.9449999928474426,0.16141265630722046,0.8924999833106995,0.4339733123779297
9,0.9495000243186951,0.15001197159290314,0.8924999833106995,0.4464106857776642
